,Unnamed: 0,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD
254,254,2014,Bangladesh,19.1,22.6,41.1,BDT,30.0,0.011682,0.35046
255,255,2014,Barbados,10.3,2.2,2.4,BBD,13.85,0.500221,6.9280608500000005
256,256,2014,Benin,4.5,12.4,2.5,XOF,500.0,0.001782,0.891
257,257,2014,Burkina Faso,10.4,2.5,26.5,XOF,500.0,0.001782,0.891
258,258,2014,Côte d’Ivoire,10.9,13.4,2.1,XOF,700.0,0.001782,1.2474
259,259,2014,Mali,18.0,12.1,12.1,XOF,700.0,0.001782,1.2474
260,260,2014,Niger,11.9,13.8,15.7,XOF,500.0,0.001782,0.891
261,261,2014,Senegal,13.6,15.8,10.0,XOF,500.0,0.001782,0.891
262,262,2014,Togo,10.9,14.4,2.1,XOF,400.0,0.001782,0.7128
263,263,2014,Bosnia and Herzegovina,32.3,39.7,39.7,BAM,3.7,0.597667,2.2113679
264,264,2014,Botswana,25.7,32.8,24.9,BWP,27.33,0.088446,2.41722918
265,265,2014,Brazil,17.2,15.2,19.2,BRL,5.75,0.184339,1.05994925
266,266,2014,Burundi,15.5,18.4,20.5,BIF,1600.0,0.000503,0.8048
267,267,2014,Cambodia,2.5,2.7,43.4,KHR,1800.0,0.000244,0.4392
268,268,2014,Cameroon,14.9,14.9,17.5,XAF,500.0,0.001782,0.891
269,269,2014,Chad,12.4,18.0,2.9,XAF,700.0,0.001782,1.2474
270,270,2014,Congo,10.6,11.4,2.3,XAF,600.0,0.001782,1.0692
271,271,2014,Canada,14.8,15.4,20.7,CAD,9.25,0.78862,7.294735
272,272,2014,Chile,35.7,46.2,46.2,CLP,1701.0,0.001248,2.122848
273,273,2014,China,23.4,25.5,25.5,CNY,11.61,0.154878,1.7981335799999998
274,274,2014,Colombia,4.1,4.6,4.6,COP,2479.0,0.00026,0.6445399999999999
275,275,2014,Comoros,19.8,23.9,22.6,KMF,500.0,0.002373,1.1865
276,276,2014,Cook Islands,23.6,29.5,29.5,NZD,19.0,0.696079,13.225501
277,277,2014,New Zealand,16.4,17.3,17.3,NZD,17.0,0.696079,11.833343
278,278,2014,Costa Rica,14.9,16.7,16.7,CRC,1600.0,0.001599,2.5584
279,279,2014,Croatia,32.4,36.1,36.1,HRK,23.0,0.155857,3.584711
280,280,2014,Cuba,21.8,30.4,30.4,CUP,7.0,0.038857,0.271999
281,281,2014,Czechia,27.4,32.2,32.2,CZK,72.0,0.045853,3.301416
282,282,2014,Democratic People's Republic of Korea,16.0,19.2,19.2,KPW,197.1,0.001112,0.2191752
283,283,2014,Denmark,19.6,21.6,21.6,DKK,44.0,0.157227,6.917988
284,284,2014,Dominican Republic,5.8,12.9,12.9,DOP,150.0,0.017748,2.6622
285,285,2014,Egypt,17.4,21.3,21.3,EGP,8.0,0.06371,0.50968
286,286,2014,El Salvador,2.0,19.9,2.9,USD,2.0,1.0,2.0
287,287,2014,Palau,23.9,29.7,25.7,USD,5.25,1.0,5.25
288,288,2014,Timor-Leste,5.3,41.8,41.8,USD,1.25,1.0,1.25
289,289,2014,United States of America,18.5,21.7,26.4,USD,6.23,1.0,6.23
290,290,2014,Zimbabwe,11.7,14.7,14.7,USD,1.3,1.0,1.3
291,291,2014,Eritrea,10.1,12.3,16.0,ERN,60.0,0.066693,4.001580000000001
292,292,2014,Eswatini,15.1,16.3,19.0,SZL,35.0,0.066486,2.32701
293,293,2014,Ethiopia,3.1,3.6,5.0,ETB,15.0,0.0216,0.324
294,294,2014,Fiji,35.8,27.7,27.7,FJD,7.8,0.476915,3.719937
295,295,2014,Gambia,12.1,16.1,15.7,GMD,30.0,0.019428,0.58284
296,296,2014,Georgia,5.0,5.4,5.4,GEL,2.2,0.321734,0.7078148000000001
297,297,2014,Ghana,2.9,3.9,4.1,GHS,2.5,0.165981,0.4149524999999999
298,298,2014,Guyana,2.7,2.7,2.7,GYD,300.0,0.004788,1.4364
299,299,2014,Iceland,13.0,16.4,16.4,ISK,1219.0,0.0078,9.5082
300,300,2014,India,12.4,2.1,30.6,INR,138.0,0.013485,1.86093
301,301,2014,Indonesia,30.8,30.8,6.8,IDR,18333.0,7e-05,1.28331
302,302,2014,Iran (Islamic Republic of),18.1,11.7,26.6,IRR,15000.0,2.4e-05,0.36
303,303,2014,Iraq,14.7,3.2,4.3,IQD,500.0,0.000685,0.3424999999999999
304,304,2014,Israel,22.7,26.6,26.6,ILS,30.0,0.311685,9.35055
305,305,2014,Jamaica,15.9,19.7,19.7,JMD,800.0,0.006768,5.4144
306,306,2014,Japan,23.1,23.9,23.9,JPY,430.0,0.00897,3.8571
307,307,2014,Kazakhstan,41.8,45.0,45.0,KZT,210.0,0.002355,0.49455
308,308,2014,Kenya,18.1,11.3,22.9,KES,100.0,0.009055,0.9055
309,309,2014,Kuwait,15.1,2.7,3.9,KWD,0.75,3.319902,2.4899265
310,310,2014,Kyrgyzstan,3.1,3.7,3.7,KGS,35.0,0.011799,0.412965
311,311,2014,Lao People's Democratic Republic,43.3,52.4,42.2,LAK,8000.0,0.000101,0.808
312,312,2014,Lebanon,27.0,34.0,42.7,LBP,3250.0,0.000659,2.14175
313,313,2014,Lesotho,20.5,26.3,49.8,LSL,34.99,0.066232,2.31745768
314,314,2014,Liberia,14.1,14.7,2.3,LRD,60.0,0.00585,0.351
315,315,2014,Madagascar,15.3,21.4,31.2,MGA,3000.0,0.000252,0.756
316,316,2014,Mauritius,3.4,3.9,49.9,MUR,125.0,0.023443,2.930375
317,317,2014,Mexico,21.9,23.8,23.8,MXN,45.0,0.049186,2.21337
318,318,2014,Mongolia,38.8,47.7,52.0,MNT,1600.0,0.000352,0.5632
319,319,2014,Morocco,12.7,15.0,16.4,MAD,19.5,0.110998,2.164461
320,320,2014,Mozambique,12.3,29.3,26.7,MZN,30.0,0.015681,0.47043
321,321,2014,Myanmar,3.2,40.1,48.8,MMK,650.0,0.000535,0.34775
322,322,2014,Namibia,22.6,33.2,28.1,NAD,40.0,0.066971,2.67884
323,323,2014,Nepal,20.9,23.5,37.0,NPR,132.0,0.008448,1.115136
324,324,2014,Nigeria,3.9,4.5,5.2,NGN,220.0,0.002436,0.53592
325,325,2014,Norway,17.7,22.2,15.4,NOK,97.9,0.115529,11.310289100000002
326,326,2014,Oman,11.2,14.8,18.3,OMR,0.9,2.593841,2.3344569
327,327,2014,Pakistan,2.8,3.8,37.9,PKR,47.0,0.005879,0.276313
328,328,2014,Panama,2.2,2.5,3.2,PAB,4.25,0.999784,4.249082
329,329,2014,Paraguay,20.4,24.6,24.6,PYG,1500.0,0.000146,0.219
330,330,2014,Peru,18.7,20.4,20.4,PEN,6.2,0.24239,1.502818
331,331,2014,Philippines,40.5,44.3,44.3,PHP,26.75,0.019612,0.524621
332,332,2014,Poland,26.7,28.6,28.6,PLN,13.7,0.252176,3.4548112
333,333,2014,Qatar,10.1,12.0,14.3,QAR,10.0,0.276283,2.76283
334,334,2014,Republic of Korea,40.3,42.7,42.7,KRW,2500.0,0.000842,2.105
335,335,2014,Republic of Moldova,40.0,44.2,44.2,MDL,15.0,0.056758,0.8513700000000001
336,336,2014,Romania,25.4,28.3,28.3,RON,14.5,0.236175,3.4245375
337,337,2014,Russian Federation,28.9,29.3,29.3,RUB,67.0,0.013731,0.919977
338,338,2014,Rwanda,14.1,20.5,21.3,RWF,650.0,0.000992,0.6448
339,339,2014,Samoa,25.0,31.0,31.0,WST,9.5,0.390717,3.7118115
340,340,2014,Saudi Arabia,18.2,12.7,2.4,SAR,10.0,0.266681,2.66681
341,341,2014,Serbia,37.0,41.7,41.7,RSD,170.0,0.009941,1.68997
342,342,2014,Seychelles,31.8,36.5,36.6,SCR,75.0,0.075113,5.633475
343,343,2014,Sierra Leone,31.5,22.5,22.5,SLL,3500.0,9.5e-05,0.3325
344,344,2014,Singapore,24.8,27.8,27.8,SGD,13.0,0.73699,9.58087
